EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	16:51:58	0	0.1500	2.726799359827331	1.5220047235488892		0.9781
2	16:52:12	0	0.1500	1.5262802369666821	1.3458274602890015		0.9815
3	16:52:26	1	0.1500	1.2730668187141418	1.3439775705337524		0.9808
4	16:52:39	2	0.1500	1.174912933147315	1.4274733066558838		0.9781
5	16:52:53	0	0.1500	1.1756816777316006	1.3363484144210815		0.9829
6	16:53:07	1	0.1500	1.2129130345402341	1.37379789352417		0.9822
7	16:53:21	2	0.1500	1.0463430339639836	1.5512678623199463		0.9802
8	16:53:34	0	0.1500	1.116417975136728	1.2729713916778564		0.985
9	16:53:49	1	0.1500	0.9868683702114857	1.1755317449569702		0.9843
10	16:54:03	2	0.1500	0.887734410889221	1.230265736579895		0.9829
11	16:54:16	0	0.1500	0.8662683792186506	1.2408227920532227		0.985
12	16:54:31	1	0.1500	0.9614766921960947	1.2238023281097412		0.9843
13	16:54:44	2	0.1500	0.8239109172965541	1.7301753759384155		0.9733
14	16:54:58	0	0.1500	0.880357105623592	1.1373400688171387		0.9863
15	16:55:12	1	0.1500	0.8824599089496064	1.2977551221847534		0.9843